transaction_id,user_id,amount,transaction_type,device_type,location,time_of_transaction,failed_attempts,is_night,new_device,transaction_velocity,fraud_flag
100000,4174,12377.51,P2P,Web,Hyderabad,2026-03-11 07:49:08.452323,3,0,1,3.72,0
100001,4507,43315.96,Recharge,Web,Delhi,2026-04-14 14:44:08.452362,2,1,0,2.4,0
100002,1860,8239.78,Recharge,iOS,Chennai,2026-04-16 15:58:08.452375,4,1,1,18.76,0
100003,2294,20762.1,Recharge,Web,Mumbai,2026-04-09 21:02:08.452381,2,0,1,3.23,0
100004,2130,726.4,Merchant,Web,Delhi,2026-04-19 06:19:08.452387,1,1,0,5.76,0
100005,2095,23921.99,Recharge,iOS,Mumbai,2026-02-18 20:26:08.452421,1,1,1,18.66,1
100006,4772,1060.85,Merchant,iOS,Chennai,2026-04-13 12:09:08.452427,1,0,0,16.26,0
100007,4092,40982.28,Recharge,iOS,Chennai,2026-02-19 15:21:08.452433,0,0,0,7.51,0
100008,2638,41244.44,Recharge,iOS,Delhi,2026-02-18 21:16:08.452438,0,0,1,19.14,0
100009,3169,39389.23,Recharge,Web,Delhi,2026-04-11 21:40:08.452444,3,1,0,11.79,0
100010,1466,14175.37,Merchant,Web,Chennai,2026-02-24 17:04:08.452449,3,1,1,2.37,0
100011,2238,41863.49,Recharge,iOS,Delhi,2026-04-15 23:34:08.452454,2,0,0,14.36,0
100012,1330,27154.48,P2P,Web,Delhi,2026-03-05 22:44:08.452460,1,0,1,11.21,0
100013,2482,18696.67,Recharge,Android,Delhi,2026-02-22 08:18:08.452465,3,0,1,11.88,1
100014,3135,31270.24,Merchant,Web,Delhi,2026-03-16 12:33:08.452470,1,0,1,19.89,0
100015,4444,626.93,Merchant,Android,Hyderabad,2026-04-01 19:02:08.452475,2,1,0,3.9,0
100016,4171,7156.61,P2P,iOS,Chennai,2026-03-03 05:51:08.452480,0,0,1,13.48,0
100017,3919,37117.25,Bill,iOS,Chennai,2026-04-22 21:35:08.452485,3,1,0,9.72,0
100018,4735,12215.64,P2P,Web,Bangalore,2026-02-14 04:05:08.452491,4,1,1,6.17,0
100019,1130,29904.48,P2P,iOS,Mumbai,2026-02-23 04:02:08.452496,4,0,1,14.18,0
100020,2685,19261.28,Merchant,Web,Bangalore,2026-03-05 07:25:08.452501,4,1,0,13.7,0
100021,4380,42741.74,Recharge,Web,Delhi,2026-04-15 00:16:08.452506,4,1,1,17.27,1
100022,1769,47621.24,Recharge,Web,Delhi,2026-04-20 07:15:08.452511,4,1,1,17.7,0
100023,3391,44179.4,Bill,Web,Hyderabad,2026-03-20 12:12:08.452516,4,0,0,11.67,0
100024,2515,13538.29,Bill,Android,Hyderabad,2026-03-17 20:39:08.452520,4,0,1,7.19,0
100025,4485,9716.2,Bill,Android,Hyderabad,2026-04-10 04:20:08.452525,3,0,1,11.06,0
100026,3853,23727.0,Bill,iOS,Hyderabad,2026-02-26 10:50:08.452531,4,0,0,7.83,0
100027,3433,376.63,P2P,Android,Hyderabad,2026-03-22 21:05:08.452536,4,0,1,6.27,0
100028,2215,1300.21,P2P,iOS,Hyderabad,2026-04-05 03:37:08.452542,2,0,1,11.48,0
100029,1955,27669.0,Recharge,iOS,Hyderabad,2026-03-22 15:33:08.452547,3,1,0,13.5,0
100030,3324,26027.27,P2P,Web,Hyderabad,2026-02-24 19:46:08.452552,2,1,0,12.22,0
100031,2184,49729.15,Recharge,Web,Hyderabad,2026-04-17 08:36:08.452557,1,1,1,19.13,1
100032,1459,10100.07,Recharge,Web,Chennai,2026-02-22 21:00:08.452562,4,1,0,6.67,0
100033,4385,12912.62,Recharge,Web,Hyderabad,2026-03-23 06:08:08.452570,0,1,1,8.07,0
100034,1021,5685.9,Recharge,Web,Mumbai,2026-03-26 00:17:08.452579,4,1,0,13.69,1
100035,3300,45877.98,Merchant,Web,Hyderabad,2026-03-18 13:59:08.452588,4,1,1,12.41,0
100036,1747,38892.78,Recharge,Android,Delhi,2026-03-14 02:53:08.452597,2,1,0,1.04,0
100037,3904,41118.73,P2P,iOS,Delhi,2026-03-28 11:32:08.452606,1,0,1,6.93,0
100038,4632,45139.16,P2P,iOS,Hyderabad,2026-04-06 06:28:08.452615,2,0,1,5.82,0
100039,1474,26249.75,P2P,Web,Hyderabad,2026-04-05 00:19:08.452624,3,1,1,16.96,0
100040,2082,22565.15,P2P,Android,Delhi,2026-03-18 21:00:08.452633,1,1,0,17.46,0
100041,3558,16526.27,Merchant,Web,Mumbai,2026-04-01 06:54:08.452643,1,0,0,6.39,1
100042,4753,29464.84,Bill,Android,Bangalore,2026-03-28 05:07:08.452653,1,0,1,2.94,0
100043,3047,22719.38,Bill,Android,Chennai,2026-03-08 07:18:08.452663,2,0,0,4.9,0
100044,4547,22583.76,Recharge,iOS,Delhi,2026-04-18 13:26:08.452671,4,1,0,4.35,0
100045,3747,46847.02,Recharge,iOS,Hyderabad,2026-04-10 03:44:08.452680,4,1,0,5.51,0
100046,1975,49201.74,P2P,Android,Chennai,2026-04-04 07:02:08.452689,4,0,0,5.46,1
100047,2806,39826.25,P2P,iOS,Hyderabad,2026-03-01 02:26:08.452697,4,1,0,10.12,0
100048,1189,37840.34,Bill,Android,Bangalore,2026-03-02 21:31:08.452703,4,1,0,7.07,0
100049,4005,34031.1,Bill,Android,Bangalore,2026-03-29 21:02:08.452707,3,0,1,11.64,0
100050,3734,8312.08,P2P,Android,Delhi,2026-02-26 23:58:08.452713,0,0,1,7.54,0
100051,4005,2964.7,Recharge,iOS,Chennai,2026-03-18 02:18:08.452718,1,0,0,16.48,0
100052,1562,34539.41,Merchant,Web,Chennai,2026-02-25 06:21:08.452723,0,1,0,19.07,0
100053,2899,36442.02,Merchant,iOS,Bangalore,2026-03-26 18:53:08.452728,3,0,0,8.67,0
100054,4638,2358.18,Bill,Web,Hyderabad,2026-04-05 07:49:08.452733,4,0,1,1.94,0
100055,2267,46403.31,Bill,iOS,Delhi,2026-04-11 10:41:08.452738,3,0,1,5.55,0
100056,3879,4566.12,Bill,iOS,Mumbai,2026-04-08 16:25:08.452743,3,1,0,2.94,1
100057,2528,14302.17,Merchant,Web,Bangalore,2026-04-16 02:52:08.452748,0,1,1,7.55,1
100058,4202,33622.77,Merchant,Android,Bangalore,2026-04-14 12:35:08.452753,1,1,1,13.26,0
100059,4556,8501.93,P2P,Web,Delhi,2026-04-06 07:33:08.452758,2,0,1,10.86,0
100060,4890,2780.24,Recharge,Android,Hyderabad,2026-03-11 17:05:08.452763,2,1,1,5.61,0
100061,1646,16564.01,Bill,Android,Chennai,2026-04-19 23:18:08.452768,1,1,1,15.58,0
100062,3068,38300.92,P2P,iOS,Bangalore,2026-03-05 14:06:08.452772,4,0,1,3.5,1
100063,3888,20689.8,Merchant,iOS,Delhi,2026-04-15 04:19:08.452777,3,1,0,5.34,0
100064,3214,32652.12,P2P,iOS,Delhi,2026-03-25 17:50:08.452782,4,1,1,13.84,0
100065,2297,28985.16,Merchant,iOS,Delhi,2026-02-22 09:15:08.452788,3,1,0,4.75,0
100066,3435,1120.7,Recharge,iOS,Chennai,2026-02-19 04:01:08.452793,2,1,0,13.9,0
